time	time2	pop	loc	nallele	expectedcorrected	fstat
5E	5	E	42	4	0.677	3.714
1W	1	W	43	3	0.532	2.968
1E	1	E	43	5	0.651	4.078
2W	2	W	43	3	0.569	2.993
2E	2	E	43	5	0.598	3.811
3W	3	W	43	4	0.455	2.896
3E	3	E	43	5	0.56	3.968
4W	4	W	43	3	0.459	2.876
4E	4	E	43	6	0.603	4.145
5W	5	W	43	3	0.462	2.558
5E	5	E	43	5	0.616	3.936
1W	1	W	44	3	0.616	2.996
1E	1	E	44	3	0.488	2.296
2W	2	W	44	3	0.569	2.889
2E	2	E	44	3	0.53	2.32
3W	3	W	44	3	0.617	2.971
3E	3	E	44	3	0.562	2.677
4W	4	W	44	3	0.563	2.963
4E	4	E	44	3	0.551	2.644
5W	5	W	44	3	0.503	2.877
5E	5	E	44	3	0.575	2.763
